scheduler,sequential,random
13.770458936691284,15.082034349441528,13.311443567276001
15.489379405975342,19.9646475315094,19.996845483779907
18.144039154052734,23.996394395828247,24.026626586914062
19.701839923858643,16.19676160812378,15.649670362472534
16.816067695617676,21.21191382408142,16.13391637802124
15.046850681304932,16.55509042739868,15.36120867729187
18.418259143829346,16.008726835250854,12.998244762420654
19.543115854263306,16.31287932395935,17.793687105178833
20.38790535926819,20.465247631072998,15.022233486175537
23.689930200576782,24.444236993789673,24.57072353363037
16.151556253433228,19.264004707336426,17.85217523574829
18.638316869735718,15.779185771942139,16.21403169631958
10.151262998580933,15.731302976608276,10.838008165359497
18.90110421180725,19.010646104812622,16.986006498336792
16.895694971084595,18.022480249404907,17.070831537246704
22.821034908294678,23.01747703552246,17.98427653312683
15.45596981048584,14.159056901931763,15.600148677825928
21.08972930908203,21.257790327072144,20.59145212173462
20.63162589073181,21.269365072250366,21.639426708221436
21.42444348335266,20.200908422470093,21.797780513763428
23.06322979927063,23.034449577331543,22.699697017669678
20.905436754226685,22.199636220932007,18.145052671432495
23.620171308517456,23.924289226531982,24.221221208572388
16.12187957763672,16.222732067108154,22.607675790786743
21.03895902633667,21.733190059661865,20.72147250175476
22.419527530670166,16.2822744846344,22.081117868423462
23.003812789916992,23.466290950775146,21.934319019317627
19.68472194671631,25.847310066223145,25.10950016975403
21.510493755340576,16.147356510162354,17.00482726097107
23.880839824676514,19.029831886291504,19.93473982810974
13.31281065940857,19.08841872215271,19.037859439849854
15.175056219100952,15.250388145446777,15.72357702255249
22.69277572631836,22.909488439559937,23.012856006622314
23.27004098892212,22.763078451156616,23.90816378593445
15.849011898040771,21.019564390182495,20.9205105304718
21.750401258468628,21.35105848312378,21.656773805618286
26.94067621231079,28.44173526763916,27.131638050079346
15.092901945114136,17.98072600364685,17.889009714126587
22.563979148864746,22.40567183494568,23.60556650161743
20.072782516479492,19.248135805130005,23.740736961364746
15.878911256790161,15.481612920761108,15.532594919204712
21.723246574401855,23.216820240020752,22.784469842910767
16.74084234237671,22.083991050720215,21.770791053771973
23.023380279541016,20.721560955047607,19.799521684646606
24.36026620864868,22.894267797470093,23.00060534477234
16.965752601623535,12.003065347671509,12.388894081115723
19.550238609313965,19.547664880752563,19.915841817855835
20.521246194839478,20.28766679763794,20.693561553955078
