f1_n,f2_n,ipc
200000,500,1.1033
200000,600,1.1457
200000,700,1.1125
200000,800,1.1206
200000,900,1.1728
200000,1000,1.1757
200000,1100,1.2
200000,1200,1.2414
200000,1300,1.242
200000,1400,1.2586
200000,1500,1.3489
200000,1600,1.3778
200000,1700,1.4276
200000,1800,1.4573
200000,1900,1.5365
200000,2000,1.5859
300000,500,1.1546
300000,600,1.1673
300000,700,1.1383
300000,800,1.1932
300000,900,1.2115
300000,1000,1.2289
300000,1100,1.2479
300000,1200,1.2643
300000,1300,1.3016
300000,1400,1.2835
300000,1500,1.3675
300000,1600,1.4012
300000,1700,1.4599
300000,1800,1.4878
300000,1900,1.5472
300000,2000,1.5761
400000,500,1.2351
400000,600,1.2159
400000,700,1.184
400000,800,1.2219
400000,900,1.2386
400000,1000,1.2595
400000,1100,1.2871
400000,1200,1.3225
400000,1300,1.3386
400000,1400,1.464
400000,1500,1.4026
400000,1600,1.4203
400000,1700,1.4396
400000,1800,1.4713
400000,1900,1.5395
400000,2000,1.5934
500000,500,1.2168
500000,600,1.213
500000,700,1.2266
500000,800,1.2033
500000,900,1.2632
500000,1000,1.3039
500000,1100,1.2758
500000,1200,1.3071
500000,1300,1.3256
500000,1400,1.3817
500000,1500,1.3725
500000,1600,1.4192
500000,1700,1.4806
500000,1800,1.497
500000,1900,1.5373
500000,2000,1.5703
600000,500,1.2403
600000,600,1.2469
600000,700,1.2621
600000,800,1.2694
600000,900,1.2663
600000,1000,1.2803
600000,1100,1.3203
600000,1200,1.3459
600000,1300,1.3779
600000,1400,1.4005
600000,1500,1.3996
600000,1600,1.4493
600000,1700,1.4676
600000,1800,1.5007
600000,1900,1.5426
600000,2000,1.585
700000,500,1.2341
700000,600,1.2827
700000,700,1.2674
700000,800,1.3
700000,900,1.3139
700000,1000,1.3284
700000,1100,1.3267
700000,1200,1.3353
700000,1300,1.4122
700000,1400,1.4056
700000,1500,1.4315
700000,1600,1.4137
700000,1700,1.4729
700000,1800,1.5411
700000,1900,1.5524
700000,2000,1.5647
800000,500,1.2808
800000,600,1.2944
800000,700,1.3205
800000,800,1.3121
800000,900,1.3389
800000,1000,1.3592
800000,1100,1.3789
800000,1200,1.3651
800000,1300,1.3984
800000,1400,1.4007
800000,1500,1.4486
800000,1600,1.3838
800000,1700,1.4791
800000,1800,1.5549
800000,1900,1.5386
800000,2000,1.5773
900000,500,1.2953
900000,600,1.3071
900000,700,1.3194
900000,800,1.3247
900000,900,1.395
900000,1000,1.3571
900000,1100,1.3879
900000,1200,1.4143
900000,1300,1.3735
900000,1400,1.4373
900000,1500,1.4579
900000,1600,1.4673
900000,1700,1.5172
900000,1800,1.5525
900000,1900,1.5606
900000,2000,1.5804
1000000,500,1.3338
1000000,600,1.3232
1000000,700,1.3625
1000000,800,1.3555
1000000,900,1.331
1000000,1000,1.3943
1000000,1100,1.3769
1000000,1200,1.3988
1000000,1300,1.3917
1000000,1400,1.4647
1000000,1500,1.4725
1000000,1600,1.4818
1000000,1700,1.5086
1000000,1800,1.5303
1000000,1900,1.5781
1000000,2000,1.5893
1100000,500,1.3434
1100000,600,1.3542
1100000,700,1.3575
1100000,800,1.3483
1100000,900,1.4231
1100000,1000,1.4059
1100000,1100,1.4212
1100000,1200,1.3734
1100000,1300,1.4297
1100000,1400,1.4243
1100000,1500,1.4762
1100000,1600,1.4636
1100000,1700,1.4998
1100000,1800,1.5543
1100000,1900,1.5621
1100000,2000,1.6005
1200000,500,1.3581
1200000,600,1.3977
1200000,700,1.3791
1200000,800,1.3622
