f1_n,f2_object_key,ipc
200000,testVideo001.mp4,1.8909
300000,testVideo001.mp4,1.8903
400000,testVideo001.mp4,1.8643
500000,testVideo001.mp4,1.8758
600000,testVideo001.mp4,1.8765
700000,testVideo001.mp4,1.8699
800000,testVideo001.mp4,1.875
900000,testVideo001.mp4,1.8518
1000000,testVideo001.mp4,1.8591
1100000,testVideo001.mp4,1.8439
1200000,testVideo001.mp4,1.8422
1300000,testVideo001.mp4,1.8314
1400000,testVideo001.mp4,1.8348
1500000,testVideo001.mp4,1.8499
1600000,testVideo001.mp4,1.8199
1700000,testVideo001.mp4,1.8418
1800000,testVideo001.mp4,1.829
1900000,testVideo001.mp4,1.8398
