f1_num_of_row_col,f2_object_key,ipc
100,testVideo001.mp4,1.8693
140,testVideo001.mp4,1.8418
180,testVideo001.mp4,1.8236
220,testVideo001.mp4,1.8064
260,testVideo001.mp4,1.7828
300,testVideo001.mp4,1.7673
340,testVideo001.mp4,1.7373
380,testVideo001.mp4,1.6978
420,testVideo001.mp4,1.6855
460,testVideo001.mp4,1.6571
500,testVideo001.mp4,1.6247
540,testVideo001.mp4,1.6003
580,testVideo001.mp4,1.5731
620,testVideo001.mp4,1.5384
660,testVideo001.mp4,1.5158
700,testVideo001.mp4,1.513
740,testVideo001.mp4,1.5133
780,testVideo001.mp4,1.5112
820,testVideo001.mp4,1.509
860,testVideo001.mp4,1.4918
900,testVideo001.mp4,1.5224
940,testVideo001.mp4,1.5127
980,testVideo001.mp4,1.5273
