f1_n,f2_n,ipc
500,500,1.6638
500,600,1.9729
500,700,2.1074
500,800,2.3309
500,900,2.5635
500,1000,2.6631
500,1100,2.7661
500,1200,2.8534
500,1300,2.9083
500,1400,2.9385
500,1500,2.956
500,1600,2.9484
500,1700,2.9523
500,1800,2.9594
500,1900,2.9693
500,2000,2.9952
600,600,2.1624
600,700,2.3094
600,800,2.4606
600,900,2.5439
600,1000,2.6602
600,1100,2.7279
600,1200,2.835
600,1300,2.9147
600,1400,2.9316
600,1500,2.9505
600,1600,2.9487
600,1700,2.9642
600,1800,2.9659
600,1900,2.9538
600,2000,2.9811
700,700,2.3745
700,800,2.523
700,900,2.5887
700,1000,2.6703
700,1100,2.7681
700,1200,2.8431
700,1300,2.9172
700,1400,2.9266
700,1500,2.9456
700,1600,2.9344
700,1700,2.884
700,1800,2.7631
700,1900,2.9604
700,2000,2.9745
800,800,2.6129
800,900,2.7011
800,1000,2.7973
800,1100,2.8332
800,1200,2.8992
800,1300,2.9466
800,1400,2.9631
800,1500,2.9939
800,1600,2.9643
800,1700,2.9937
800,1800,2.9928
800,1900,3.006
800,2000,3.0068
900,900,2.7658
900,1000,2.75
900,1100,2.86
900,1200,2.9378
900,1300,2.9739
900,1400,2.9761
900,1500,3.0018
900,1600,2.9948
900,1700,3.0009
900,1800,3.0011
900,1900,3.0068
900,2000,3.0191
1000,1000,2.8562
1000,1100,2.9001
1000,1200,2.9516
1000,1300,2.9954
1000,1400,3.001
1000,1500,3.0188
1000,1600,3.0074
1000,1700,3.0289
1000,1800,3.0285
1000,1900,3.0274
1000,2000,3.0303
1100,1100,2.9515
1100,1200,2.9946
1100,1300,3.0109
1100,1400,3.0298
1100,1500,3.0213
1100,1600,3.0287
1100,1700,3.026
1100,1800,3.0418
1100,1900,3.0466
1100,2000,3.0476
1200,1200,3.0039
1200,1300,3.0112
1200,1400,3.0458
1200,1500,3.0514
1200,1600,3.0481
1200,1700,3.068
1200,1800,3.0678
1200,1900,3.0601
1200,2000,3.0698
1300,1300,3.0456
1300,1400,3.0526
1300,1500,3.0771
1300,1600,3.0566
1300,1700,3.0737
1300,1800,3.0863
1300,1900,3.0726
1300,2000,3.0881
1400,1400,3.0744
1400,1500,3.0705
1400,1600,3.0794
1400,1700,3.0803
1400,1800,3.0835
1400,1900,3.0762
1400,2000,3.1032
1500,1500,3.0814
1500,1600,3.0916
1500,1700,3.0502
1500,1800,3.1062
1500,1900,3.094
1500,2000,3.1072
1600,1600,3.0756
1600,1700,3.0866
1600,1800,3.0949
1600,1900,3.0922
1600,2000,3.1034
1700,1700,3.0976
1700,1800,3.107
1700,1900,3.1018
1700,2000,3.1155
1800,1800,3.1062
1800,1900,3.1004
1800,2000,3.1107
1900,1900,3.1171
1900,2000,3.0741
2000,2000,3.1205
