f1_object_key,f2_n,ipc
reviews10mb.csv,500,1.5303
reviews10mb.csv,600,1.6265
reviews10mb.csv,700,1.7369
reviews10mb.csv,800,1.8882
reviews10mb.csv,900,2.019
reviews10mb.csv,1000,2.1414
reviews10mb.csv,1100,2.273
reviews10mb.csv,1200,2.361
reviews10mb.csv,1300,2.4925
reviews10mb.csv,1400,2.4447
reviews10mb.csv,1500,2.4856
reviews10mb.csv,1600,2.477
reviews10mb.csv,1700,2.4861
reviews10mb.csv,1800,2.5022
reviews10mb.csv,1900,2.5096
reviews10mb.csv,2000,2.5273
reviews20mb.csv,500,1.5277
reviews20mb.csv,600,1.6071
reviews20mb.csv,700,1.6694
reviews20mb.csv,800,1.7725
reviews20mb.csv,900,1.8997
reviews20mb.csv,1000,2.0132
reviews20mb.csv,1100,2.1156
reviews20mb.csv,1200,2.2179
reviews20mb.csv,1300,2.2426
reviews20mb.csv,1400,2.2533
reviews20mb.csv,1500,2.2678
reviews20mb.csv,1600,2.2464
reviews20mb.csv,1700,2.2888
reviews20mb.csv,1800,2.2917
reviews20mb.csv,1900,2.3096
reviews20mb.csv,2000,2.2921
reviews50mb.csv,500,1.6125
reviews50mb.csv,600,1.6651
reviews50mb.csv,700,1.7284
reviews50mb.csv,800,1.8126
reviews50mb.csv,900,1.8913
reviews50mb.csv,1000,2.0238
reviews50mb.csv,1100,2.1249
reviews50mb.csv,1200,2.252
reviews50mb.csv,1300,2.3246
reviews50mb.csv,1400,2.3202
reviews50mb.csv,1500,2.353
reviews50mb.csv,1600,2.3869
reviews50mb.csv,1700,2.3514
reviews50mb.csv,1800,2.3286
reviews50mb.csv,1900,2.277
reviews50mb.csv,2000,2.3363
reviews100mb.csv,500,1.6942
reviews100mb.csv,600,1.7437
reviews100mb.csv,700,1.7915
reviews100mb.csv,800,1.8963
reviews100mb.csv,900,1.9695
reviews100mb.csv,1000,2.0406
reviews100mb.csv,1100,2.1749
reviews100mb.csv,1200,2.2797
reviews100mb.csv,1300,2.4053
reviews100mb.csv,1400,2.422
reviews100mb.csv,1500,2.3777
reviews100mb.csv,1600,2.4047
reviews100mb.csv,1700,2.3998
reviews100mb.csv,1800,2.4522
reviews100mb.csv,1900,2.4259
reviews100mb.csv,2000,2.3824
