f1_n,f2_n,ipc
500,500,0.8602
500,600,0.9676
500,700,0.9799
500,800,0.9977
500,900,1.027
500,1000,1.0395
500,1100,1.0635
500,1200,0.9339
500,1300,1.1844
500,1400,1.2616
500,1500,1.2535
500,1600,1.3488
500,1700,1.3736
500,1800,1.4456
500,1900,1.5171
500,2000,1.5558
600,600,0.9692
600,700,1.0062
600,800,1.056
600,900,1.0557
600,1000,1.0804
600,1100,1.1092
600,1200,1.1879
600,1300,1.1987
600,1400,1.2517
600,1500,1.307
600,1600,1.3452
600,1700,1.3781
600,1800,1.4619
600,1900,1.5224
600,2000,1.5399
700,700,1.0281
700,800,1.0211
700,900,1.0698
700,1000,1.0841
700,1100,1.1182
700,1200,1.1617
700,1300,1.2127
700,1400,1.2583
700,1500,1.3036
700,1600,1.3272
700,1700,1.4117
700,1800,1.4535
700,1900,1.5201
700,2000,1.573
800,800,1.0422
800,900,1.0884
800,1000,1.1215
800,1100,1.1589
800,1200,1.1682
800,1300,1.2202
800,1400,1.269
800,1500,1.3374
800,1600,1.3724
800,1700,1.4094
800,1800,1.4696
800,1900,1.5326
800,2000,1.5897
900,900,1.1083
900,1000,1.1326
900,1100,1.1603
900,1200,1.2053
900,1300,1.2445
900,1400,1.2671
900,1500,1.3256
900,1600,1.3864
900,1700,1.4351
900,1800,1.5072
900,1900,1.5418
900,2000,1.5543
1000,1000,1.1664
1000,1100,1.1875
1000,1200,1.2194
1000,1300,1.2464
1000,1400,1.2966
1000,1500,1.3378
1000,1600,1.3795
1000,1700,1.4476
1000,1800,1.4888
1000,1900,1.5671
1000,2000,1.6076
1100,1100,1.2316
1100,1200,1.2378
1100,1300,1.3103
1100,1400,1.3193
1100,1500,1.3611
1100,1600,1.4257
1100,1700,1.4679
1100,1800,1.523
1100,1900,1.574
1100,2000,1.628
1200,1200,1.3052
1200,1300,1.3089
1200,1400,1.3504
1200,1500,1.4226
1200,1600,1.4351
1200,1700,1.5148
1200,1800,1.5529
1200,1900,1.5919
1200,2000,1.63
1300,1300,1.343
1300,1400,1.3751
1300,1500,1.4507
1300,1600,1.472
1300,1700,1.5166
1300,1800,1.5816
1300,1900,1.6178
1300,2000,1.6433
1400,1400,1.4074
1400,1500,1.4669
1400,1600,1.4972
1400,1700,1.5307
1400,1800,1.6016
1400,1900,1.6798
1400,2000,1.7006
1500,1500,1.4984
1500,1600,1.5409
1500,1700,1.5964
1500,1800,1.6263
1500,1900,1.6686
1500,2000,1.7079
1600,1600,1.5697
1600,1700,1.6239
1600,1800,1.6541
1600,1900,1.6969
1600,2000,1.7177
1700,1700,1.5885
1700,1800,1.464
1700,1900,1.4394
1700,2000,1.7718
1800,1800,1.7252
1800,1900,1.7907
1800,2000,1.7936
1900,1900,1.7986
1900,2000,1.8284
2000,2000,1.8656
