f1_object_key,f2_n,ipc
reviews10mb.csv,500,1.3629
reviews10mb.csv,600,1.3751
reviews10mb.csv,700,1.3741
reviews10mb.csv,800,1.365
reviews10mb.csv,900,1.3771
reviews10mb.csv,1000,1.3565
reviews10mb.csv,1100,1.3916
reviews10mb.csv,1200,1.3977
reviews10mb.csv,1300,1.3986
reviews10mb.csv,1400,1.4164
reviews10mb.csv,1500,1.4377
reviews10mb.csv,1600,1.4447
reviews10mb.csv,1700,1.4601
reviews10mb.csv,1800,1.4662
reviews10mb.csv,1900,1.4932
reviews10mb.csv,2000,1.4929
reviews20mb.csv,500,1.4466
reviews20mb.csv,600,1.4445
reviews20mb.csv,700,1.4351
reviews20mb.csv,800,1.4429
reviews20mb.csv,900,1.4478
reviews20mb.csv,1000,1.452
reviews20mb.csv,1100,1.4593
reviews20mb.csv,1200,1.4583
reviews20mb.csv,1300,1.4417
reviews20mb.csv,1400,1.4768
reviews20mb.csv,1500,1.4708
reviews20mb.csv,1600,1.4824
reviews20mb.csv,1700,1.4945
reviews20mb.csv,1800,1.5113
reviews20mb.csv,1900,1.5084
reviews20mb.csv,2000,1.521
reviews50mb.csv,500,1.5309
reviews50mb.csv,600,1.5223
reviews50mb.csv,700,1.5312
reviews50mb.csv,800,1.5304
reviews50mb.csv,900,1.5265
reviews50mb.csv,1000,1.5408
reviews50mb.csv,1100,1.5408
reviews50mb.csv,1200,1.5452
reviews50mb.csv,1300,1.5468
reviews50mb.csv,1400,1.5548
reviews50mb.csv,1500,1.5606
reviews50mb.csv,1600,1.5625
reviews50mb.csv,1700,1.5678
reviews50mb.csv,1800,1.5802
reviews50mb.csv,1900,1.5809
reviews50mb.csv,2000,1.6005
reviews100mb.csv,500,1.6206
reviews100mb.csv,600,1.6207
reviews100mb.csv,700,1.6209
reviews100mb.csv,800,1.6288
reviews100mb.csv,900,1.622
reviews100mb.csv,1000,1.6347
reviews100mb.csv,1100,1.6324
reviews100mb.csv,1200,1.6285
reviews100mb.csv,1300,1.637
reviews100mb.csv,1400,1.6457
reviews100mb.csv,1500,1.645
reviews100mb.csv,1600,1.6533
reviews100mb.csv,1700,1.6593
reviews100mb.csv,1800,1.6559
reviews100mb.csv,1900,1.686
reviews100mb.csv,2000,1.6822
