f1_n,f2_length_of_message,f2_num_of_iterations,ipc
500,512,32,1.1945
500,512,48,1.1949
500,512,64,1.2175
500,1024,32,1.2172
500,1024,48,1.2385
500,1024,64,1.3145
500,1536,32,1.2824
500,1536,48,1.2859
500,1536,64,1.3153
500,2048,32,1.2771
500,2048,48,1.3607
500,2048,64,1.3881
600,512,32,1.1405
600,512,48,1.1946
600,512,64,1.2287
600,1024,32,1.2246
600,1024,48,1.2522
600,1024,64,1.2803
600,1536,32,1.2793
600,1536,48,1.3259
600,1536,64,1.3541
600,2048,32,1.2806
600,2048,48,1.3516
600,2048,64,1.3826
700,512,32,1.1462
700,512,48,1.2046
700,512,64,1.2983
700,1024,32,1.207
700,1024,48,1.2404
700,1024,64,1.2969
700,1536,32,1.2918
700,1536,48,1.3368
700,1536,64,1.3126
700,2048,32,1.2881
700,2048,48,1.3216
700,2048,64,1.3878
800,512,32,1.1502
800,512,48,1.2514
800,512,64,1.2443
800,1024,32,1.2232
800,1024,48,1.2615
800,1024,64,1.3045
800,1536,32,1.2928
800,1536,48,1.2991
800,1536,64,1.3773
800,2048,32,1.2969
800,2048,48,1.3111
800,2048,64,1.3583
900,512,32,1.19
900,512,48,1.2802
900,512,64,1.2517
900,1024,32,1.2137
900,1024,48,1.2744
900,1024,64,1.272
900,1536,32,1.2601
900,1536,48,1.3083
900,1536,64,1.33
900,2048,32,1.3317
900,2048,48,1.3736
900,2048,64,1.3525
1000,512,32,1.2022
1000,512,48,1.2308
1000,512,64,1.284
1000,1024,32,1.2602
1000,1024,48,1.2889
1000,1024,64,1.3073
1000,1536,32,1.2728
1000,1536,48,1.2447
1000,1536,64,1.3363
1000,2048,32,1.2319
1000,2048,48,1.3361
1000,2048,64,1.3395
1100,512,32,1.2271
1100,512,48,1.2606
1100,512,64,1.2679
1100,1024,32,1.2623
1100,1024,48,1.2993
1100,1024,64,1.336
1100,1536,32,1.3201
1100,1536,48,1.366
1100,1536,64,1.3682
1100,2048,32,1.3568
1100,2048,48,1.3456
1100,2048,64,1.37
1200,512,32,1.3063
1200,512,48,1.2544
1200,512,64,1.303
1200,1024,32,1.2846
1200,1024,48,1.3083
1200,1024,64,1.358
1200,1536,32,1.3018
1200,1536,48,1.3392
1200,1536,64,1.3552
1200,2048,32,1.3691
1200,2048,48,1.3557
1200,2048,64,1.3672
1300,512,32,1.3311
1300,512,48,1.2932
1300,512,64,1.3267
1300,1024,32,1.3029
1300,1024,48,1.3191
1300,1024,64,1.3331
1300,1536,32,1.2959
1300,1536,48,1.3491
1300,1536,64,1.3576
1300,2048,32,1.3391
1300,2048,48,1.3629
1300,2048,64,1.356
1400,512,32,1.3553
1400,512,48,1.3334
1400,512,64,1.3536
1400,1024,32,1.3472
1400,1024,48,1.3764
1400,1024,64,1.3549
1400,1536,32,1.337
1400,1536,48,1.3983
1400,1536,64,1.3844
1400,2048,32,1.3459
1400,2048,48,1.3821
1400,2048,64,1.3684
1500,512,32,1.3263
1500,512,48,1.3589
1500,512,64,1.3796
1500,1024,32,1.3386
1500,1024,48,1.3847
1500,1024,64,1.3756
1500,1536,32,1.349
1500,1536,48,1.3547
1500,1536,64,1.3888
1500,2048,32,1.3739
1500,2048,48,1.3777
1500,2048,64,1.3663
1600,512,32,1.3431
1600,512,48,1.4153
1600,512,64,1.4013
1600,1024,32,1.3952
1600,1024,48,1.3851
1600,1024,64,1.4051
1600,1536,32,1.3728
1600,1536,48,1.3842
1600,1536,64,1.4037
1600,2048,32,1.3719
1600,2048,48,1.4068
1600,2048,64,1.4627
1700,512,32,1.4107
1700,512,48,1.4227
1700,512,64,1.4253
1700,1024,32,1.4046
1700,1024,48,1.3967
1700,1024,64,1.4224
1700,1536,32,1.4569
1700,1536,48,1.4315
1700,1536,64,1.4129
1700,2048,32,1.4289
1700,2048,48,1.4202
1700,2048,64,1.442
1800,512,32,1.4631
1800,512,48,1.4359
1800,512,64,1.4699
1800,1024,32,1.4225
1800,1024,48,1.4207
1800,1024,64,1.4298
1800,1536,32,1.4518
1800,1536,48,1.4283
1800,1536,64,1.4402
1800,2048,32,1.4785
1800,2048,48,1.4761
1800,2048,64,1.4153
1900,512,32,1.5001
1900,512,48,1.4882
1900,512,64,1.4967
1900,1024,32,1.5123
1900,1024,48,1.5033
1900,1024,64,1.5013
1900,1536,32,1.4607
1900,1536,48,1.4927
1900,1536,64,1.5053
1900,2048,32,1.4637
1900,2048,48,1.457
1900,2048,64,1.5035
2000,512,32,1.5233
2000,512,48,1.5277
2000,512,64,1.4786
2000,1024,32,1.5261
2000,1024,48,1.5321
2000,1024,64,1.4747
2000,1536,32,1.4682
2000,1536,48,1.4871
2000,1536,64,1.5225
2000,2048,32,1.4724
2000,2048,48,1.4565
2000,2048,64,1.5038
