f1_n,f2_dataset_test_object_key,ipc
200000,reviews10mb.csv,1.3969
200000,reviews20mb.csv,1.4303
200000,reviews50mb.csv,1.4936
200000,reviews100mb.csv,1.5739
300000,reviews10mb.csv,1.4074
300000,reviews20mb.csv,1.4378
300000,reviews50mb.csv,1.4962
300000,reviews100mb.csv,1.5776
400000,reviews10mb.csv,1.4067
400000,reviews20mb.csv,1.4469
400000,reviews50mb.csv,1.4897
400000,reviews100mb.csv,1.5747
500000,reviews10mb.csv,1.4187
500000,reviews20mb.csv,1.4433
500000,reviews50mb.csv,1.4948
500000,reviews100mb.csv,1.5838
600000,reviews10mb.csv,1.4211
600000,reviews20mb.csv,1.4508
600000,reviews50mb.csv,1.4894
600000,reviews100mb.csv,1.5709
700000,reviews10mb.csv,1.4239
700000,reviews20mb.csv,1.4425
700000,reviews50mb.csv,1.4977
700000,reviews100mb.csv,1.5819
800000,reviews10mb.csv,1.4152
800000,reviews20mb.csv,1.4559
800000,reviews50mb.csv,1.5114
800000,reviews100mb.csv,1.5804
900000,reviews10mb.csv,1.4024
900000,reviews20mb.csv,1.453
900000,reviews50mb.csv,1.4969
900000,reviews100mb.csv,1.5744
1000000,reviews10mb.csv,1.4308
1000000,reviews20mb.csv,1.4641
1000000,reviews50mb.csv,1.5069
1000000,reviews100mb.csv,1.5717
1100000,reviews10mb.csv,1.427
1100000,reviews20mb.csv,1.4542
1100000,reviews50mb.csv,1.4996
1100000,reviews100mb.csv,1.5666
1200000,reviews10mb.csv,1.4248
1200000,reviews20mb.csv,1.457
1200000,reviews50mb.csv,1.5169
1200000,reviews100mb.csv,1.5855
1300000,reviews10mb.csv,1.4312
1300000,reviews20mb.csv,1.452
1300000,reviews50mb.csv,1.5101
1300000,reviews100mb.csv,1.5751
1400000,reviews10mb.csv,1.4354
1400000,reviews20mb.csv,1.441
1400000,reviews50mb.csv,1.492
1400000,reviews100mb.csv,1.5638
1500000,reviews10mb.csv,1.3974
1500000,reviews20mb.csv,1.4521
1500000,reviews50mb.csv,1.5109
1500000,reviews100mb.csv,1.5643
1600000,reviews10mb.csv,1.4248
1600000,reviews20mb.csv,1.4644
1600000,reviews50mb.csv,1.515
1600000,reviews100mb.csv,1.5893
1700000,reviews10mb.csv,1.4428
1700000,reviews20mb.csv,1.4739
1700000,reviews50mb.csv,1.5
1700000,reviews100mb.csv,1.5795
1800000,reviews10mb.csv,1.4288
1800000,reviews20mb.csv,1.4645
1800000,reviews50mb.csv,1.4928
1800000,reviews100mb.csv,1.5809
1900000,reviews10mb.csv,1.4382
1900000,reviews20mb.csv,1.4739
1900000,reviews50mb.csv,1.507
1900000,reviews100mb.csv,1.5729
