f1_object_key,f2_n,ipc
reviews10mb.csv,200000,1.3782
reviews10mb.csv,300000,1.3705
reviews10mb.csv,400000,1.3775
reviews10mb.csv,500000,1.3939
reviews10mb.csv,600000,1.4032
reviews10mb.csv,700000,1.4091
reviews10mb.csv,800000,1.4013
reviews10mb.csv,900000,1.3974
reviews10mb.csv,1000000,1.4173
reviews10mb.csv,1100000,1.3989
reviews10mb.csv,1200000,1.4311
reviews10mb.csv,1300000,1.4495
reviews10mb.csv,1400000,1.4243
reviews10mb.csv,1500000,1.4299
reviews10mb.csv,1600000,1.4261
reviews10mb.csv,1700000,1.4317
reviews10mb.csv,1800000,1.4514
reviews10mb.csv,1900000,1.4429
reviews20mb.csv,200000,1.4455
reviews20mb.csv,300000,1.45
reviews20mb.csv,400000,1.4478
reviews20mb.csv,500000,1.4521
reviews20mb.csv,600000,1.4529
reviews20mb.csv,700000,1.4603
reviews20mb.csv,800000,1.4582
reviews20mb.csv,900000,1.4648
reviews20mb.csv,1000000,1.4275
reviews20mb.csv,1100000,1.4661
reviews20mb.csv,1200000,1.4732
reviews20mb.csv,1300000,1.477
reviews20mb.csv,1400000,1.4853
reviews20mb.csv,1500000,1.4766
reviews20mb.csv,1600000,1.4729
reviews20mb.csv,1700000,1.4831
reviews20mb.csv,1800000,1.492
reviews20mb.csv,1900000,1.4823
reviews50mb.csv,200000,1.5232
reviews50mb.csv,300000,1.5291
reviews50mb.csv,400000,1.5304
reviews50mb.csv,500000,1.53
reviews50mb.csv,600000,1.5301
reviews50mb.csv,700000,1.5377
reviews50mb.csv,800000,1.531
reviews50mb.csv,900000,1.5333
reviews50mb.csv,1000000,1.5258
reviews50mb.csv,1100000,1.5206
reviews50mb.csv,1200000,1.5501
reviews50mb.csv,1300000,1.5303
reviews50mb.csv,1400000,1.5403
reviews50mb.csv,1500000,1.5508
reviews50mb.csv,1600000,1.5479
reviews50mb.csv,1700000,1.5315
reviews50mb.csv,1800000,1.5415
reviews50mb.csv,1900000,1.5536
reviews100mb.csv,200000,1.6242
reviews100mb.csv,300000,1.6147
reviews100mb.csv,400000,1.6144
reviews100mb.csv,500000,1.6124
reviews100mb.csv,600000,1.6191
reviews100mb.csv,700000,1.6223
reviews100mb.csv,800000,1.6195
reviews100mb.csv,900000,1.6082
reviews100mb.csv,1000000,1.6129
reviews100mb.csv,1100000,1.6132
reviews100mb.csv,1200000,1.6141
reviews100mb.csv,1300000,1.611
reviews100mb.csv,1400000,1.5989
reviews100mb.csv,1500000,1.5967
reviews100mb.csv,1600000,1.6088
reviews100mb.csv,1700000,1.6062
reviews100mb.csv,1800000,1.6068
reviews100mb.csv,1900000,1.5968
