f1_object_key,f2_length_of_message,f2_num_of_iterations,ipc
dog_1.jpg,512,32,1.9056
dog_1.jpg,512,48,1.8755
dog_1.jpg,512,64,1.8557
dog_1.jpg,1024,32,1.812
dog_1.jpg,1024,48,1.7784
dog_1.jpg,1024,64,1.7339
dog_1.jpg,1536,32,1.7882
dog_1.jpg,1536,48,1.7384
dog_1.jpg,1536,64,1.6723
dog_1.jpg,2048,32,1.7468
dog_1.jpg,2048,48,1.6958
dog_1.jpg,2048,64,1.654
dog_2.jpg,512,32,2.1973
dog_2.jpg,512,48,2.172
dog_2.jpg,512,64,2.1394
dog_2.jpg,1024,32,2.131
dog_2.jpg,1024,48,2.1006
dog_2.jpg,1024,64,2.025
dog_2.jpg,1536,32,2.0758
dog_2.jpg,1536,48,1.9919
dog_2.jpg,1536,64,1.9313
dog_2.jpg,2048,32,2.0304
dog_2.jpg,2048,48,1.9499
dog_2.jpg,2048,64,1.9303
dog_3.jpg,512,32,2.3726
dog_3.jpg,512,48,2.3429
dog_3.jpg,512,64,2.3281
dog_3.jpg,1024,32,2.3308
dog_3.jpg,1024,48,2.2813
dog_3.jpg,1024,64,2.2309
dog_3.jpg,1536,32,2.2642
dog_3.jpg,1536,48,2.1935
dog_3.jpg,1536,64,2.1419
dog_3.jpg,2048,32,2.2156
dog_3.jpg,2048,48,2.1245
dog_3.jpg,2048,64,2.0781
dog_4.jpg,512,32,2.3722
dog_4.jpg,512,48,2.3698
dog_4.jpg,512,64,2.3443
dog_4.jpg,1024,32,2.33
dog_4.jpg,1024,48,2.2792
dog_4.jpg,1024,64,2.2412
dog_4.jpg,1536,32,2.2962
dog_4.jpg,1536,48,2.2119
dog_4.jpg,1536,64,2.1865
dog_4.jpg,2048,32,2.2342
dog_4.jpg,2048,48,2.1507
dog_4.jpg,2048,64,2.0805
dog_5.jpg,512,32,2.2293
dog_5.jpg,512,48,2.252
dog_5.jpg,512,64,2.183
dog_5.jpg,1024,32,2.1932
dog_5.jpg,1024,48,2.1641
dog_5.jpg,1024,64,2.1413
dog_5.jpg,1536,32,2.1564
dog_5.jpg,1536,48,2.065
dog_5.jpg,1536,64,2.0515
dog_5.jpg,2048,32,2.1043
dog_5.jpg,2048,48,2.036
dog_5.jpg,2048,64,1.9315
dog_6.jpg,512,32,1.8795
dog_6.jpg,512,48,1.8726
dog_6.jpg,512,64,1.8603
dog_6.jpg,1024,32,1.8915
dog_6.jpg,1024,48,1.808
dog_6.jpg,1024,64,1.8263
dog_6.jpg,1536,32,1.8473
dog_6.jpg,1536,48,1.8186
dog_6.jpg,1536,64,1.7624
dog_6.jpg,2048,32,1.7901
dog_6.jpg,2048,48,1.7535
dog_6.jpg,2048,64,1.6992
dog_7.jpg,512,32,1.4444
dog_7.jpg,512,48,1.553
dog_7.jpg,512,64,1.5891
dog_7.jpg,1024,32,1.545
dog_7.jpg,1024,48,1.5641
dog_7.jpg,1024,64,1.5408
dog_7.jpg,1536,32,1.5574
dog_7.jpg,1536,48,1.5601
dog_7.jpg,1536,64,1.4858
dog_7.jpg,2048,32,1.4915
dog_7.jpg,2048,48,1.4843
dog_7.jpg,2048,64,1.4539
dog_8.jpg,512,32,1.2109
dog_8.jpg,512,48,1.24
dog_8.jpg,512,64,1.1966
dog_8.jpg,1024,32,1.274
dog_8.jpg,1024,48,1.2552
dog_8.jpg,1024,64,1.2578
dog_8.jpg,1536,32,1.2156
dog_8.jpg,1536,48,1.2842
dog_8.jpg,1536,64,1.2294
dog_8.jpg,2048,32,1.218
dog_8.jpg,2048,48,1.2509
dog_8.jpg,2048,64,1.2453
dog_9.jpg,512,32,1.2314
dog_9.jpg,512,48,1.2331
dog_9.jpg,512,64,1.2464
dog_9.jpg,1024,32,1.2419
dog_9.jpg,1024,48,1.2538
dog_9.jpg,1024,64,1.259
dog_9.jpg,1536,32,1.2479
dog_9.jpg,1536,48,1.2628
dog_9.jpg,1536,64,1.2695
dog_9.jpg,2048,32,1.2563
dog_9.jpg,2048,48,1.2593
dog_9.jpg,2048,64,1.2979
