f1_object_key,f2_object_key,ipc
dog_1.jpg,dog_1.jpg,2.0692
dog_1.jpg,dog_2.jpg,2.282
dog_1.jpg,dog_3.jpg,2.4178
dog_1.jpg,dog_4.jpg,2.4242
dog_1.jpg,dog_5.jpg,2.3062
dog_1.jpg,dog_6.jpg,2.0001
dog_1.jpg,dog_7.jpg,1.7966
dog_1.jpg,dog_8.jpg,1.4904
dog_1.jpg,dog_9.jpg,1.4829
dog_2.jpg,dog_2.jpg,2.3688
dog_2.jpg,dog_3.jpg,2.4559
dog_2.jpg,dog_4.jpg,2.4542
dog_2.jpg,dog_5.jpg,2.3188
dog_2.jpg,dog_6.jpg,2.1058
dog_2.jpg,dog_7.jpg,1.9109
dog_2.jpg,dog_8.jpg,1.6782
dog_2.jpg,dog_9.jpg,1.6893
dog_3.jpg,dog_3.jpg,2.4596
dog_3.jpg,dog_4.jpg,2.4263
dog_3.jpg,dog_5.jpg,2.2821
dog_3.jpg,dog_6.jpg,2.1305
dog_3.jpg,dog_7.jpg,1.9605
dog_3.jpg,dog_8.jpg,1.8405
dog_3.jpg,dog_9.jpg,1.9
dog_4.jpg,dog_4.jpg,2.5153
dog_4.jpg,dog_5.jpg,2.3031
dog_4.jpg,dog_6.jpg,2.1411
dog_4.jpg,dog_7.jpg,2.0006
dog_4.jpg,dog_8.jpg,1.8635
dog_4.jpg,dog_9.jpg,1.9061
dog_5.jpg,dog_5.jpg,2.3059
dog_5.jpg,dog_6.jpg,1.969
dog_5.jpg,dog_7.jpg,1.8501
dog_5.jpg,dog_8.jpg,1.7752
dog_5.jpg,dog_9.jpg,1.7608
dog_6.jpg,dog_6.jpg,1.7838
dog_6.jpg,dog_7.jpg,1.6119
dog_6.jpg,dog_8.jpg,1.533
dog_6.jpg,dog_9.jpg,1.5994
dog_7.jpg,dog_7.jpg,1.626
dog_7.jpg,dog_8.jpg,1.3613
dog_7.jpg,dog_9.jpg,1.4583
dog_8.jpg,dog_8.jpg,1.2619
dog_8.jpg,dog_9.jpg,1.2379
dog_9.jpg,dog_9.jpg,1.2426
