f1_n,f2_n,ipc
500,500,1.6617
500,600,1.8644
500,700,2.0507
500,800,2.3235
500,900,2.5063
500,1000,2.6386
500,1100,2.7189
500,1200,2.8199
500,1300,2.9155
500,1400,2.9539
500,1500,2.9508
500,1600,2.9495
500,1700,2.9521
500,1800,2.9708
500,1900,2.9908
500,2000,2.9606
600,500,1.6634
600,600,1.8594
600,700,2.0601
600,800,2.3426
600,900,2.5085
600,1000,2.6329
600,1100,2.7362
600,1200,2.8271
600,1300,2.9229
600,1400,2.9324
600,1500,2.9605
600,1600,2.9558
600,1700,2.9815
600,1800,2.9762
600,1900,2.9939
600,2000,2.99
700,500,1.5984
700,600,1.8631
700,700,2.0568
700,800,2.3158
700,900,2.4814
700,1000,2.6094
700,1100,2.7325
700,1200,2.8013
700,1300,2.904
700,1400,2.9099
700,1500,2.9586
700,1600,2.9557
700,1700,2.9731
700,1800,2.9699
700,1900,2.9893
700,2000,2.9985
800,500,1.6841
800,600,1.8144
800,700,2.0641
800,800,2.3176
800,900,2.4898
800,1000,2.6076
800,1100,2.7346
800,1200,2.8258
800,1300,2.9136
800,1400,2.9469
800,1500,2.9573
800,1600,2.9456
800,1700,2.9636
800,1800,2.9687
800,1900,2.9799
800,2000,2.9909
900,500,1.6885
900,600,1.8423
900,700,2.0957
900,800,2.3348
900,900,2.508
900,1000,2.6264
900,1100,2.7352
900,1200,2.8398
900,1300,2.9232
900,1400,2.9235
900,1500,2.9545
900,1600,2.948
900,1700,2.9687
900,1800,2.9543
900,1900,2.9721
900,2000,2.9687
1000,500,1.7145
1000,600,1.8315
1000,700,2.0915
1000,800,2.2929
1000,900,2.5155
1000,1000,2.6407
1000,1100,2.7282
1000,1200,2.8312
1000,1300,2.9164
1000,1400,2.9359
1000,1500,2.95
1000,1600,2.9458
1000,1700,2.963
1000,1800,2.941
1000,1900,2.9892
1000,2000,2.9907
1100,500,1.6483
1100,600,1.9173
1100,700,2.0607
1100,800,2.3253
1100,900,2.4878
1100,1000,2.6387
1100,1100,2.7355
1100,1200,2.8367
1100,1300,2.9008
1100,1400,2.9187
1100,1500,2.9465
1100,1600,2.9357
1100,1700,2.9408
1100,1800,2.9473
1100,1900,2.9736
1100,2000,2.9815
1200,500,1.7338
1200,600,1.9104
1200,700,2.0377
1200,800,2.3444
1200,900,2.5105
1200,1000,2.6372
1200,1100,2.7221
1200,1200,2.8254
1200,1300,2.9182
1200,1400,2.9232
1200,1500,2.9399
1200,1600,2.9376
1200,1700,2.9661
1200,1800,2.9631
1200,1900,2.9868
1200,2000,2.9945
1300,500,1.7043
1300,600,1.9231
1300,700,2.1047
1300,800,2.3145
1300,900,2.4767
1300,1000,2.6091
1300,1100,2.7242
1300,1200,2.8274
1300,1300,2.9112
1300,1400,2.9316
1300,1500,2.9459
1300,1600,2.9479
1300,1700,2.973
1300,1800,2.967
1300,1900,2.9841
1300,2000,2.9899
1400,500,1.7723
1400,600,1.9125
1400,700,2.1095
1400,800,2.3409
1400,900,2.492
1400,1000,2.6077
1400,1100,2.6941
1400,1200,2.8296
1400,1300,2.9168
1400,1400,2.9299
1400,1500,2.9548
1400,1600,2.9376
1400,1700,2.9605
1400,1800,2.9534
1400,1900,2.975
1400,2000,2.988
1500,500,1.7493
1500,600,1.9369
1500,700,2.1226
1500,800,2.3438
1500,900,2.493
1500,1000,2.6129
1500,1100,2.7174
1500,1200,2.8244
1500,1300,2.9075
1500,1400,2.9213
1500,1500,2.9432
1500,1600,2.9439
1500,1700,2.9602
1500,1800,2.9534
1500,1900,2.9521
1500,2000,2.973
1600,500,1.8013
1600,600,1.9446
1600,700,2.103
1600,800,2.3088
1600,900,2.4937
1600,1000,2.6356
1600,1100,2.7379
1600,1200,2.8243
1600,1300,2.9099
1600,1400,2.9246
1600,1500,2.9401
1600,1600,2.9382
1600,1700,2.9503
1600,1800,2.9544
1600,1900,2.9628
1600,2000,2.9776
1700,500,1.8023
1700,600,1.9862
1700,700,2.1297
1700,800,2.3319
1700,900,2.506
1700,1000,2.629
1700,1100,2.7227
1700,1200,2.8273
1700,1300,2.8997
1700,1400,2.925
1700,1500,2.9351
1700,1600,2.9377
1700,1700,2.9595
1700,1800,2.9534
1700,1900,2.9613
1700,2000,2.9746
1800,500,1.8487
1800,600,1.992
1800,700,2.1422
1800,800,2.3566
1800,900,2.4915
1800,1000,2.6293
1800,1100,2.7145
1800,1200,2.804
1800,1300,2.8989
1800,1400,2.9149
1800,1500,2.9438
1800,1600,2.9413
1800,1700,2.9558
1800,1800,2.944
1800,1900,2.9478
1800,2000,2.9676
1900,500,1.8622
1900,600,2.0189
1900,700,2.1342
1900,800,2.3417
1900,900,2.5186
1900,1000,2.6176
1900,1100,2.7113
1900,1200,2.8233
1900,1300,2.8944
1900,1400,2.9231
1900,1500,2.9292
1900,1600,2.9352
1900,1700,2.9548
1900,1800,2.95
1900,1900,2.925
1900,2000,2.9689
2000,500,1.9073
2000,600,2.0384
2000,700,2.1593
2000,800,2.3499
2000,900,2.4534
2000,1000,2.6162
2000,1100,2.6983
2000,1200,2.8175
2000,1300,2.9011
2000,1400,2.9186
2000,1500,2.9429
2000,1600,2.9265
2000,1700,2.9457
2000,1800,2.9385
2000,1900,2.9272
2000,2000,2.9578
