f1_num_of_row_col,f2_n,ipc
100,200000,1.0772
100,300000,1.0999
100,400000,1.1486
100,500000,1.1993
100,600000,1.2187
100,700000,1.2265
100,800000,1.215
100,900000,1.2598
100,1000000,1.2639
100,1100000,1.2821
100,1200000,1.2982
100,1300000,1.3514
100,1400000,1.3168
100,1500000,1.3424
100,1600000,1.3458
100,1700000,1.3762
100,1800000,1.3618
100,1900000,1.3896
140,200000,1.0794
140,300000,1.1089
140,400000,1.1414
140,500000,1.168
140,600000,1.1878
140,700000,1.2197
140,800000,1.2402
140,900000,1.267
140,1000000,1.2845
140,1100000,1.3113
140,1200000,1.2897
140,1300000,1.3123
140,1400000,1.3109
140,1500000,1.3434
140,1600000,1.3483
140,1700000,1.3698
140,1800000,1.359
140,1900000,1.3774
180,200000,1.0778
180,300000,1.1137
180,400000,1.145
180,500000,1.1595
180,600000,1.187
180,700000,1.2026
180,800000,1.2475
180,900000,1.2281
180,1000000,1.2801
180,1100000,1.277
180,1200000,1.2832
180,1300000,1.3259
180,1400000,1.2949
180,1500000,1.3399
180,1600000,1.3504
180,1700000,1.3293
180,1800000,1.3543
180,1900000,1.3602
220,200000,1.08
220,300000,1.11
220,400000,1.1372
220,500000,1.1715
220,600000,1.1744
220,700000,1.1922
220,800000,1.2323
220,900000,1.203
220,1000000,1.2465
220,1100000,1.2443
220,1200000,1.2549
220,1300000,1.2864
220,1400000,1.2908
220,1500000,1.338
220,1600000,1.3425
220,1700000,1.3459
220,1800000,1.3306
220,1900000,1.331
260,200000,1.0651
260,300000,1.1367
260,400000,1.1365
260,500000,1.1575
260,600000,1.2004
260,700000,1.1989
260,800000,1.2234
260,900000,1.2296
260,1000000,1.2471
260,1100000,1.2638
260,1200000,1.2862
260,1300000,1.2644
260,1400000,1.292
260,1500000,1.3039
260,1600000,1.3158
260,1700000,1.3212
260,1800000,1.3259
260,1900000,1.3315
300,200000,1.0963
300,300000,1.1125
300,400000,1.1252
300,500000,1.153
300,600000,1.1943
300,700000,1.1803
300,800000,1.209
300,900000,1.2155
300,1000000,1.1986
300,1100000,1.2202
300,1200000,1.2751
300,1300000,1.2617
300,1400000,1.2811
300,1500000,1.2991
300,1600000,1.2972
300,1700000,1.294
300,1800000,1.3071
300,1900000,1.3006
340,200000,1.0859
340,300000,1.1127
340,400000,1.134
340,500000,1.1466
340,600000,1.1581
340,700000,1.1945
340,800000,1.2101
340,900000,1.2079
340,1000000,1.2029
340,1100000,1.2282
340,1200000,1.2771
340,1300000,1.259
340,1400000,1.2963
340,1500000,1.268
340,1600000,1.3199
340,1700000,1.278
340,1800000,1.2763
340,1900000,1.3034
380,200000,1.0965
380,300000,1.1106
380,400000,1.1405
380,500000,1.143
380,600000,1.165
380,700000,1.1714
380,800000,1.1917
380,900000,1.2166
380,1000000,1.2214
380,1100000,1.2084
380,1200000,1.2274
380,1300000,1.2195
380,1400000,1.2463
380,1500000,1.2403
380,1600000,1.2881
380,1700000,1.2902
380,1800000,1.2723
380,1900000,1.299
420,200000,1.0854
420,300000,1.1102
420,400000,1.1372
420,500000,1.1474
