f1_n,f2_n,ipc
200000,200000,1.0519
200000,300000,1.0788
200000,400000,1.2124
200000,500000,1.1766
200000,600000,1.1954
200000,700000,1.294
200000,800000,1.2933
200000,900000,1.2188
200000,1000000,1.2333
200000,1100000,1.3663
200000,1200000,1.3558
200000,1300000,1.348
200000,1400000,1.3605
200000,1500000,1.3919
200000,1600000,1.4007
200000,1700000,1.2898
200000,1800000,1.3491
200000,1900000,1.3904
300000,300000,1.1913
300000,400000,1.2504
300000,500000,1.239
300000,600000,1.3049
300000,700000,1.3305
300000,800000,1.3317
300000,900000,1.3238
300000,1000000,1.3224
300000,1100000,1.3853
300000,1200000,1.3835
300000,1300000,1.3789
300000,1400000,1.3977
300000,1500000,1.4196
300000,1600000,1.4108
300000,1700000,1.4102
300000,1800000,1.399
300000,1900000,1.4266
400000,400000,1.2851
400000,500000,1.2944
400000,600000,1.3345
400000,700000,1.3372
400000,800000,1.3697
400000,900000,1.3991
400000,1000000,1.352
400000,1100000,1.4084
400000,1200000,1.3952
400000,1300000,1.3676
400000,1400000,1.371
400000,1500000,1.4405
400000,1600000,1.4389
400000,1700000,1.4255
400000,1800000,1.455
400000,1900000,1.4422
500000,500000,1.3051
500000,600000,1.3271
500000,700000,1.3682
500000,800000,1.383
500000,900000,1.3599
500000,1000000,1.3576
500000,1100000,1.4032
500000,1200000,1.4025
500000,1300000,1.4171
500000,1400000,1.4285
500000,1500000,1.4409
500000,1600000,1.46
500000,1700000,1.4427
500000,1800000,1.4144
500000,1900000,1.4762
600000,600000,1.3292
600000,700000,1.3666
600000,800000,1.3574
600000,900000,1.4083
600000,1000000,1.3755
600000,1100000,1.418
600000,1200000,1.3814
600000,1300000,1.4274
600000,1400000,1.4296
600000,1500000,1.4641
600000,1600000,1.4184
600000,1700000,1.4432
600000,1800000,1.4804
600000,1900000,1.4657
700000,700000,1.3869
700000,800000,1.3994
700000,900000,1.3639
700000,1000000,1.4371
700000,1100000,1.4237
700000,1200000,1.4396
700000,1300000,1.4306
700000,1400000,1.4286
700000,1500000,1.4159
700000,1600000,1.4679
700000,1700000,1.4654
700000,1800000,1.4637
700000,1900000,1.48
800000,800000,1.4058
800000,900000,1.4092
800000,1000000,1.4185
800000,1100000,1.4357
800000,1200000,1.4408
800000,1300000,1.468
800000,1400000,1.4365
800000,1500000,1.4137
800000,1600000,1.4563
800000,1700000,1.4634
800000,1800000,1.4365
800000,1900000,1.453
900000,900000,1.4086
900000,1000000,1.4353
900000,1100000,1.3937
900000,1200000,1.4134
900000,1300000,1.4505
900000,1400000,1.4554
900000,1500000,1.4531
900000,1600000,1.4519
900000,1700000,1.4693
900000,1800000,1.4623
900000,1900000,1.4886
1000000,1000000,1.4124
1000000,1100000,1.4278
1000000,1200000,1.4029
1000000,1300000,1.4352
1000000,1400000,1.4683
1000000,1500000,1.4766
1000000,1600000,1.4481
1000000,1700000,1.4431
1000000,1800000,1.4752
1000000,1900000,1.4885
1100000,1100000,1.4521
1100000,1200000,1.479
1100000,1300000,1.44
1100000,1400000,1.4485
1100000,1500000,1.4505
1100000,1600000,1.4553
1100000,1700000,1.4495
1100000,1800000,1.475
1100000,1900000,1.4719
1200000,1200000,1.4361
1200000,1300000,1.4391
1200000,1400000,1.4477
1200000,1500000,1.457
1200000,1600000,1.4413
1200000,1700000,1.4867
1200000,1800000,1.4484
1200000,1900000,1.4639
1300000,1300000,1.4462
1300000,1400000,1.4467
1300000,1500000,1.4313
1300000,1600000,1.4727
1300000,1700000,1.445
1300000,1800000,1.471
1300000,1900000,1.4721
1400000,1400000,1.4584
1400000,1500000,1.464
1400000,1600000,1.4683
1400000,1700000,1.5004
1400000,1800000,1.495
1400000,1900000,1.4897
1500000,1500000,1.4789
1500000,1600000,1.5184
1500000,1700000,1.4879
1500000,1800000,1.4686
1500000,1900000,1.4983
1600000,1600000,1.4961
1600000,1700000,1.4955
1600000,1800000,1.4909
1600000,1900000,1.5093
1700000,1700000,1.4534
1700000,1800000,1.4854
1700000,1900000,1.4968
1800000,1800000,1.5011
1800000,1900000,1.5108
1900000,1900000,1.5155
