f1_n,f2_length_of_message,f2_num_of_iterations,ipc
500,512,32,1.5887
500,512,48,1.6001
500,512,64,1.5842
500,1024,32,1.5809
500,1024,48,1.5276
500,1024,64,1.5181
500,1536,32,1.5107
500,1536,48,1.5182
500,1536,64,1.4998
500,2048,32,1.5596
500,2048,48,1.4987
500,2048,64,1.478
600,512,32,1.6375
600,512,48,1.7494
600,512,64,1.7151
600,1024,32,1.7099
600,1024,48,1.6604
600,1024,64,1.6257
600,1536,32,1.6579
600,1536,48,1.6241
600,1536,64,1.5965
600,2048,32,1.6834
600,2048,48,1.5705
600,2048,64,1.5678
700,512,32,1.9533
700,512,48,1.9113
700,512,64,1.9015
700,1024,32,1.8593
700,1024,48,1.8002
700,1024,64,1.7631
700,1536,32,1.7903
700,1536,48,1.7899
700,1536,64,1.751
700,2048,32,1.7614
700,2048,48,1.6962
700,2048,64,1.71
800,512,32,2.1854
800,512,48,2.119
800,512,64,2.0981
800,1024,32,2.0164
800,1024,48,1.9938
800,1024,64,1.9292
800,1536,32,1.9923
800,1536,48,1.956
800,1536,64,1.8537
800,2048,32,1.9658
800,2048,48,1.8578
800,2048,64,1.7926
900,512,32,2.3745
900,512,48,2.3222
900,512,64,2.2594
900,1024,32,2.2463
900,1024,48,2.1632
900,1024,64,2.0677
900,1536,32,2.1272
900,1536,48,2.0487
900,1536,64,1.9841
900,2048,32,2.0936
900,2048,48,1.9877
900,2048,64,1.9119
1000,512,32,2.4725
1000,512,48,2.4622
1000,512,64,2.4005
1000,1024,32,2.4001
1000,1024,48,2.3167
1000,1024,64,2.2218
1000,1536,32,2.3129
1000,1536,48,2.2583
1000,1536,64,2.0999
1000,2048,32,2.2391
1000,2048,48,2.1792
1000,2048,64,2.0379
1100,512,32,2.6317
1100,512,48,2.589
1100,512,64,2.5391
1100,1024,32,2.5407
1100,1024,48,2.4755
1100,1024,64,2.3598
1100,1536,32,2.4303
1100,1536,48,2.3758
1100,1536,64,2.2594
1100,2048,32,2.4048
1100,2048,48,2.2992
1100,2048,64,2.1667
1200,512,32,2.7476
1200,512,48,2.6651
1200,512,64,2.6491
1200,1024,32,2.6323
1200,1024,48,2.5418
1200,1024,64,2.4894
1200,1536,32,2.5335
1200,1536,48,2.4409
1200,1536,64,2.3917
1200,2048,32,2.5367
1200,2048,48,2.3879
1200,2048,64,2.2925
1300,512,32,2.8204
1300,512,48,2.7786
1300,512,64,2.7454
1300,1024,32,2.721
1300,1024,48,2.6512
1300,1024,64,2.5708
1300,1536,32,2.6793
1300,1536,48,2.5295
1300,1536,64,2.4892
1300,2048,32,2.5846
1300,2048,48,2.4407
1300,2048,64,2.3067
1400,512,32,2.8306
1400,512,48,2.804
1400,512,64,2.7516
1400,1024,32,2.7716
1400,1024,48,2.661
1400,1024,64,2.6034
1400,1536,32,2.6433
1400,1536,48,2.5191
1400,1536,64,2.4558
1400,2048,32,2.5514
1400,2048,48,2.499
1400,2048,64,2.3329
1500,512,32,2.8651
1500,512,48,2.8107
1500,512,64,2.7822
1500,1024,32,2.785
1500,1024,48,2.6692
1500,1024,64,2.6014
1500,1536,32,2.6688
1500,1536,48,2.5518
1500,1536,64,2.4733
1500,2048,32,2.6307
1500,2048,48,2.4444
1500,2048,64,2.3597
1600,512,32,2.8643
1600,512,48,2.8188
1600,512,64,2.7671
1600,1024,32,2.7499
1600,1024,48,2.6564
1600,1024,64,2.5989
1600,1536,32,2.6428
1600,1536,48,2.5467
1600,1536,64,2.4674
1600,2048,32,2.6313
1600,2048,48,2.4381
1600,2048,64,2.3695
1700,512,32,2.8699
1700,512,48,2.8108
1700,512,64,2.789
1700,1024,32,2.7665
1700,1024,48,2.7065
1700,1024,64,2.6189
1700,1536,32,2.6936
1700,1536,48,2.5997
1700,1536,64,2.4823
1700,2048,32,2.6017
1700,2048,48,2.4559
1700,2048,64,2.3582
1800,512,32,2.8764
1800,512,48,2.8408
1800,512,64,2.7768
1800,1024,32,2.763
1800,1024,48,2.6898
1800,1024,64,2.6154
1800,1536,32,2.6585
1800,1536,48,2.549
1800,1536,64,2.4846
1800,2048,32,2.588
1800,2048,48,2.4828
1800,2048,64,2.4193
1900,512,32,2.8645
1900,512,48,2.8496
1900,512,64,2.8055
1900,1024,32,2.7904
1900,1024,48,2.6956
1900,1024,64,2.6211
1900,1536,32,2.6924
1900,1536,48,2.5979
1900,1536,64,2.4609
1900,2048,32,2.6304
1900,2048,48,2.4981
1900,2048,64,2.4108
2000,512,32,2.8774
2000,512,48,2.8578
2000,512,64,2.7639
2000,1024,32,2.7937
2000,1024,48,2.6807
2000,1024,64,2.6246
2000,1536,32,2.706
2000,1536,48,2.5402
2000,1536,64,2.4882
2000,2048,32,2.6357
2000,2048,48,2.5171
2000,2048,64,2.3828
