f1_num_of_row_col,f2_object_key,ipc
100,reviews10mb.csv,1.3071
100,reviews20mb.csv,1.4019
100,reviews50mb.csv,1.4768
100,reviews100mb.csv,1.5774
140,reviews10mb.csv,1.2921
140,reviews20mb.csv,1.3974
140,reviews50mb.csv,1.4909
140,reviews100mb.csv,1.5715
180,reviews10mb.csv,1.3079
180,reviews20mb.csv,1.3931
180,reviews50mb.csv,1.4637
180,reviews100mb.csv,1.5629
220,reviews10mb.csv,1.298
220,reviews20mb.csv,1.3827
220,reviews50mb.csv,1.4627
220,reviews100mb.csv,1.5424
260,reviews10mb.csv,1.2779
260,reviews20mb.csv,1.3726
260,reviews50mb.csv,1.4582
260,reviews100mb.csv,1.5236
300,reviews10mb.csv,1.2663
300,reviews20mb.csv,1.3679
300,reviews50mb.csv,1.4401
300,reviews100mb.csv,1.517
340,reviews10mb.csv,1.2657
340,reviews20mb.csv,1.3529
340,reviews50mb.csv,1.4304
340,reviews100mb.csv,1.4904
380,reviews10mb.csv,1.257
380,reviews20mb.csv,1.3281
380,reviews50mb.csv,1.4218
380,reviews100mb.csv,1.4893
420,reviews10mb.csv,1.2422
420,reviews20mb.csv,1.3254
420,reviews50mb.csv,1.4038
420,reviews100mb.csv,1.4637
460,reviews10mb.csv,1.2363
460,reviews20mb.csv,1.315
460,reviews50mb.csv,1.39
460,reviews100mb.csv,1.4539
500,reviews10mb.csv,1.2363
500,reviews20mb.csv,1.3022
500,reviews50mb.csv,1.3633
500,reviews100mb.csv,1.4311
540,reviews10mb.csv,1.2204
540,reviews20mb.csv,1.2963
540,reviews50mb.csv,1.3571
540,reviews100mb.csv,1.4151
580,reviews10mb.csv,1.2183
580,reviews20mb.csv,1.283
580,reviews50mb.csv,1.3366
580,reviews100mb.csv,1.3953
620,reviews10mb.csv,1.2025
620,reviews20mb.csv,1.2804
620,reviews50mb.csv,1.3321
620,reviews100mb.csv,1.3834
660,reviews10mb.csv,1.2007
660,reviews20mb.csv,1.2672
660,reviews50mb.csv,1.3377
660,reviews100mb.csv,1.3792
700,reviews10mb.csv,1.1953
700,reviews20mb.csv,1.2762
700,reviews50mb.csv,1.337
700,reviews100mb.csv,1.3761
740,reviews10mb.csv,1.1996
740,reviews20mb.csv,1.2747
740,reviews50mb.csv,1.3445
740,reviews100mb.csv,1.3636
780,reviews10mb.csv,1.1967
780,reviews20mb.csv,1.2793
780,reviews50mb.csv,1.3447
780,reviews100mb.csv,1.3611
820,reviews10mb.csv,1.1994
820,reviews20mb.csv,1.2817
820,reviews50mb.csv,1.3398
820,reviews100mb.csv,1.3762
860,reviews10mb.csv,1.202
860,reviews20mb.csv,1.2699
860,reviews50mb.csv,1.3022
860,reviews100mb.csv,1.3696
900,reviews10mb.csv,1.1999
900,reviews20mb.csv,1.2852
900,reviews50mb.csv,1.3398
900,reviews100mb.csv,1.3802
940,reviews10mb.csv,1.2002
940,reviews20mb.csv,1.2779
940,reviews50mb.csv,1.3215
940,reviews100mb.csv,1.3761
980,reviews10mb.csv,1.2004
980,reviews20mb.csv,1.271
980,reviews50mb.csv,1.338
980,reviews100mb.csv,1.3952
