f1_num_of_row_col,f2_object_key,ipc
100,dog_1.jpg,1.8313
100,dog_2.jpg,2.1561
100,dog_3.jpg,2.3164
100,dog_4.jpg,2.3415
100,dog_5.jpg,2.1682
100,dog_6.jpg,1.8587
100,dog_7.jpg,1.5386
100,dog_8.jpg,1.1853
100,dog_9.jpg,1.1997
140,dog_1.jpg,1.8164
140,dog_2.jpg,2.1064
140,dog_3.jpg,2.3064
140,dog_4.jpg,2.3307
140,dog_5.jpg,2.1773
140,dog_6.jpg,1.8632
140,dog_7.jpg,1.518
140,dog_8.jpg,1.1647
140,dog_9.jpg,1.201
180,dog_1.jpg,1.7828
180,dog_2.jpg,2.0984
180,dog_3.jpg,2.285
180,dog_4.jpg,2.2958
180,dog_5.jpg,2.1646
180,dog_6.jpg,1.855
180,dog_7.jpg,1.5144
180,dog_8.jpg,1.1897
180,dog_9.jpg,1.194
220,dog_1.jpg,1.742
220,dog_2.jpg,2.0305
220,dog_3.jpg,2.2553
220,dog_4.jpg,2.2677
220,dog_5.jpg,2.147
220,dog_6.jpg,1.8317
220,dog_7.jpg,1.4962
220,dog_8.jpg,1.1879
220,dog_9.jpg,1.1952
260,dog_1.jpg,1.7142
260,dog_2.jpg,2.0136
260,dog_3.jpg,2.2158
260,dog_4.jpg,2.2201
260,dog_5.jpg,2.0841
260,dog_6.jpg,1.7794
260,dog_7.jpg,1.4692
260,dog_8.jpg,1.1839
260,dog_9.jpg,1.1975
300,dog_1.jpg,1.6685
300,dog_2.jpg,1.9718
300,dog_3.jpg,2.1826
300,dog_4.jpg,2.1971
300,dog_5.jpg,2.0689
300,dog_6.jpg,1.7896
300,dog_7.jpg,1.4367
300,dog_8.jpg,1.1525
300,dog_9.jpg,1.1933
340,dog_1.jpg,1.6098
340,dog_2.jpg,1.9338
340,dog_3.jpg,2.1403
340,dog_4.jpg,2.1578
340,dog_5.jpg,2.0262
340,dog_6.jpg,1.7546
340,dog_7.jpg,1.4743
340,dog_8.jpg,1.1408
340,dog_9.jpg,1.1772
380,dog_1.jpg,1.5899
380,dog_2.jpg,1.8922
380,dog_3.jpg,2.1029
380,dog_4.jpg,2.1188
380,dog_5.jpg,2.0082
380,dog_6.jpg,1.7412
380,dog_7.jpg,1.4675
380,dog_8.jpg,1.1941
380,dog_9.jpg,1.1744
420,dog_1.jpg,1.5581
420,dog_2.jpg,1.8424
420,dog_3.jpg,2.0552
420,dog_4.jpg,2.0666
420,dog_5.jpg,1.9235
420,dog_6.jpg,1.6797
420,dog_7.jpg,1.4758
420,dog_8.jpg,1.1819
420,dog_9.jpg,1.1752
460,dog_1.jpg,1.5061
460,dog_2.jpg,1.8029
460,dog_3.jpg,2.0284
460,dog_4.jpg,2.0301
460,dog_5.jpg,1.848
460,dog_6.jpg,1.6289
460,dog_7.jpg,1.399
460,dog_8.jpg,1.191
460,dog_9.jpg,1.1747
500,dog_1.jpg,1.4884
500,dog_2.jpg,1.7308
500,dog_3.jpg,1.9795
500,dog_4.jpg,1.9634
500,dog_5.jpg,1.8208
500,dog_6.jpg,1.6088
500,dog_7.jpg,1.4063
500,dog_8.jpg,1.1764
500,dog_9.jpg,1.168
540,dog_1.jpg,1.4373
540,dog_2.jpg,1.7251
540,dog_3.jpg,1.9476
540,dog_4.jpg,1.8868
540,dog_5.jpg,1.7633
540,dog_6.jpg,1.573
540,dog_7.jpg,1.3795
540,dog_8.jpg,1.175
540,dog_9.jpg,1.1595
580,dog_1.jpg,1.4213
580,dog_2.jpg,1.6824
580,dog_3.jpg,1.877
580,dog_4.jpg,1.821
580,dog_5.jpg,1.7233
580,dog_6.jpg,1.5324
580,dog_7.jpg,1.3367
580,dog_8.jpg,1.1504
580,dog_9.jpg,1.1684
620,dog_1.jpg,1.4094
620,dog_2.jpg,1.6568
620,dog_3.jpg,1.8075
620,dog_4.jpg,1.7911
620,dog_5.jpg,1.6862
620,dog_6.jpg,1.5016
620,dog_7.jpg,1.3295
620,dog_8.jpg,1.1318
620,dog_9.jpg,1.1614
660,dog_1.jpg,1.3768
660,dog_2.jpg,1.6119
660,dog_3.jpg,1.7471
660,dog_4.jpg,1.7315
660,dog_5.jpg,1.5892
660,dog_6.jpg,1.4284
660,dog_7.jpg,1.2916
660,dog_8.jpg,1.1348
660,dog_9.jpg,1.1641
700,dog_1.jpg,1.3671
700,dog_2.jpg,1.6071
700,dog_3.jpg,1.8053
700,dog_4.jpg,1.7856
700,dog_5.jpg,1.5617
700,dog_6.jpg,1.4639
700,dog_7.jpg,1.2194
700,dog_8.jpg,1.1496
700,dog_9.jpg,1.1575
740,dog_1.jpg,1.3467
740,dog_2.jpg,1.6071
740,dog_3.jpg,1.7608
740,dog_4.jpg,1.7805
740,dog_5.jpg,1.5605
740,dog_6.jpg,1.4573
740,dog_7.jpg,1.1951
740,dog_8.jpg,1.1318
740,dog_9.jpg,1.1639
780,dog_1.jpg,1.3591
780,dog_2.jpg,1.607
780,dog_3.jpg,1.7485
780,dog_4.jpg,1.8006
780,dog_5.jpg,1.6006
780,dog_6.jpg,1.458
780,dog_7.jpg,1.2962
780,dog_8.jpg,1.1377
780,dog_9.jpg,1.1537
820,dog_1.jpg,1.363
820,dog_2.jpg,1.6066
820,dog_3.jpg,1.7802
820,dog_4.jpg,1.7947
820,dog_5.jpg,1.5944
820,dog_6.jpg,1.4447
820,dog_7.jpg,1.2862
820,dog_8.jpg,1.141
820,dog_9.jpg,1.1622
860,dog_1.jpg,1.345
860,dog_2.jpg,1.6175
860,dog_3.jpg,1.7995
860,dog_4.jpg,1.7618
860,dog_5.jpg,1.5918
860,dog_6.jpg,1.3943
