f1_num_of_row_col,f2_n,ipc
100,500,1.5007
100,600,1.6763
100,700,1.8708
100,800,2.1457
100,900,2.3264
100,1000,2.5021
100,1100,2.6009
100,1200,2.7242
100,1300,2.821
100,1400,2.8325
100,1500,2.8505
100,1600,2.8368
100,1700,2.8002
100,1800,2.865
100,1900,2.8727
100,2000,2.877
140,500,1.5167
140,600,1.6847
140,700,1.8731
140,800,2.0942
140,900,2.2944
140,1000,2.4394
140,1100,2.5833
140,1200,2.6857
140,1300,2.7928
140,1400,2.7972
140,1500,2.8118
140,1600,2.8144
140,1700,2.8349
140,1800,2.8313
140,1900,2.849
140,2000,2.8536
180,500,1.4642
180,600,1.6348
180,700,1.8009
180,800,2.0472
180,900,2.2375
180,1000,2.41
180,1100,2.543
180,1200,2.6622
180,1300,2.7576
180,1400,2.7255
180,1500,2.7884
180,1600,2.7672
180,1700,2.7875
180,1800,2.7897
180,1900,2.7993
180,2000,2.8028
220,500,1.4208
220,600,1.5978
220,700,1.7734
220,800,2.0229
220,900,2.1729
220,1000,2.3563
220,1100,2.4836
220,1200,2.5931
220,1300,2.7146
220,1400,2.7123
220,1500,2.7271
220,1600,2.734
220,1700,2.7477
220,1800,2.7542
220,1900,2.7663
220,2000,2.7662
260,500,1.4044
260,600,1.5441
260,700,1.734
260,800,1.9467
260,900,2.1222
260,1000,2.3061
260,1100,2.4375
260,1200,2.5415
260,1300,2.661
260,1400,2.6596
260,1500,2.6935
260,1600,2.6807
260,1700,2.6803
260,1800,2.687
260,1900,2.7069
260,2000,2.7128
300,500,1.3813
300,600,1.5249
300,700,1.6601
300,800,1.8734
300,900,2.0448
300,1000,2.2229
300,1100,2.384
300,1200,2.488
300,1300,2.6097
300,1400,2.6197
300,1500,2.6253
300,1600,2.6179
300,1700,2.6359
300,1800,2.6325
300,1900,2.6515
300,2000,2.6357
340,500,1.3166
340,600,1.4889
340,700,1.6347
340,800,1.8339
340,900,1.9963
340,1000,2.164
340,1100,2.3142
340,1200,2.4345
340,1300,2.5544
340,1400,2.5527
340,1500,2.5728
340,1600,2.5359
340,1700,2.5633
340,1800,2.567
340,1900,2.5875
340,2000,2.5978
380,500,1.3311
380,600,1.4529
380,700,1.583
380,800,1.7697
380,900,1.9166
380,1000,2.0755
380,1100,2.2347
380,1200,2.3789
380,1300,2.4985
380,1400,2.5091
380,1500,2.4809
380,1600,2.4755
380,1700,2.4878
380,1800,2.4917
380,1900,2.5215
380,2000,2.5214
420,500,1.3022
420,600,1.3786
420,700,1.5535
420,800,1.7247
420,900,1.8804
420,1000,2.034
420,1100,2.1895
420,1200,2.2978
420,1300,2.4084
420,1400,2.4138
420,1500,2.407
420,1600,2.4107
420,1700,2.4182
420,1800,2.425
420,1900,2.4506
420,2000,2.4535
460,500,1.2851
460,600,1.3921
460,700,1.5114
460,800,1.6588
460,900,1.808
460,1000,1.9804
460,1100,2.1233
460,1200,2.253
460,1300,2.3307
460,1400,2.3038
460,1500,2.3456
460,1600,2.3466
460,1700,2.3442
460,1800,2.3647
460,1900,2.3711
460,2000,2.362
500,500,1.2602
500,600,1.3684
500,700,1.479
500,800,1.6122
500,900,1.7745
500,1000,1.9119
500,1100,2.0573
500,1200,2.1969
500,1300,2.2661
500,1400,2.2559
500,1500,2.2775
500,1600,2.2782
500,1700,2.2664
500,1800,2.2726
500,1900,2.2981
500,2000,2.3149
540,500,1.2677
540,600,1.3377
540,700,1.4527
540,800,1.5757
540,900,1.6939
540,1000,1.8577
540,1100,2.0022
540,1200,2.139
540,1300,2.2294
540,1400,2.186
540,1500,2.1958
540,1600,2.2039
540,1700,2.2108
540,1800,2.2128
540,1900,2.2303
540,2000,2.2458
580,500,1.2394
580,600,1.3333
580,700,1.4193
580,800,1.5474
580,900,1.6819
580,1000,1.8231
580,1100,1.9466
580,1200,2.0882
580,1300,2.1206
580,1400,2.1192
580,1500,2.1604
580,1600,2.1376
580,1700,2.1608
580,1800,2.1538
580,1900,2.1812
580,2000,2.1744
620,500,1.2289
620,600,1.3002
620,700,1.391
620,800,1.5167
620,900,1.6452
620,1000,1.7703
620,1100,1.9053
620,1200,2.0493
620,1300,2.0829
620,1400,2.0901
620,1500,2.0822
620,1600,2.0272
620,1700,2.0818
620,1800,2.0798
620,1900,2.1031
620,2000,2.1121
660,500,1.2215
660,600,1.2848
660,700,1.3786
660,800,1.4912
660,900,1.607
660,1000,1.754
660,1100,1.9063
660,1200,2.0438
660,1300,2.0679
660,1400,2.0853
660,1500,2.0278
660,1600,2.0821
660,1700,2.0785
660,1800,2.0972
660,1900,2.0367
660,2000,2.0883
700,500,1.2106
700,600,1.271
700,700,1.3594
700,800,1.4919
700,900,1.6097
700,1000,1.7507
700,1100,1.8958
700,1200,2.0381
700,1300,2.1169
700,1400,2.0919
700,1500,2.0815
700,1600,2.0798
700,1700,2.0667
700,1800,2.0879
700,1900,2.004
700,2000,2.0464
740,500,1.2016
740,600,1.2822
740,700,1.3724
740,800,1.4802
740,900,1.6156
740,1000,1.7396
740,1100,1.9021
740,1200,2.0194
740,1300,2.0673
740,1400,2.0871
740,1500,2.0906
740,1600,2.0652
740,1700,2.042
740,1800,2.0346
740,1900,2.0959
740,2000,2.1066
780,500,1.2006
780,600,1.2631
780,700,1.3746
780,800,1.4886
780,900,1.6186
780,1000,1.7495
780,1100,1.9019
780,1200,2.0462
780,1300,2.0766
780,1400,2.1448
780,1500,2.1431
780,1600,2.0923
780,1700,2.0112
780,1800,2.0047
780,1900,2.0376
