f1_n,f2_dataset_test_object_key,ipc
500,reviews10mb.csv,1.4825
500,reviews20mb.csv,1.5127
500,reviews50mb.csv,1.5655
500,reviews100mb.csv,1.6528
600,reviews10mb.csv,1.5388
600,reviews20mb.csv,1.5672
600,reviews50mb.csv,1.6162
600,reviews100mb.csv,1.7063
700,reviews10mb.csv,1.6076
700,reviews20mb.csv,1.6339
700,reviews50mb.csv,1.6843
700,reviews100mb.csv,1.7488
800,reviews10mb.csv,1.7024
800,reviews20mb.csv,1.7371
800,reviews50mb.csv,1.778
800,reviews100mb.csv,1.8656
900,reviews10mb.csv,1.8125
900,reviews20mb.csv,1.8393
900,reviews50mb.csv,1.865
900,reviews100mb.csv,1.9629
1000,reviews10mb.csv,1.9396
1000,reviews20mb.csv,1.9539
1000,reviews50mb.csv,1.9974
1000,reviews100mb.csv,2.0651
1100,reviews10mb.csv,2.0652
1100,reviews20mb.csv,2.0835
1100,reviews50mb.csv,2.1159
1100,reviews100mb.csv,2.1778
1200,reviews10mb.csv,2.1803
1200,reviews20mb.csv,2.1926
1200,reviews50mb.csv,2.233
1200,reviews100mb.csv,2.2815
1300,reviews10mb.csv,2.2138
1300,reviews20mb.csv,2.2393
1300,reviews50mb.csv,2.2665
1300,reviews100mb.csv,2.3186
1400,reviews10mb.csv,2.243
1400,reviews20mb.csv,2.2472
1400,reviews50mb.csv,2.2675
1400,reviews100mb.csv,2.3351
1500,reviews10mb.csv,2.2501
1500,reviews20mb.csv,2.2544
1500,reviews50mb.csv,2.288
1500,reviews100mb.csv,2.3157
1600,reviews10mb.csv,2.2436
1600,reviews20mb.csv,2.25
1600,reviews50mb.csv,2.2894
1600,reviews100mb.csv,2.3316
1700,reviews10mb.csv,2.2625
1700,reviews20mb.csv,2.2673
1700,reviews50mb.csv,2.2883
1700,reviews100mb.csv,2.3476
1800,reviews10mb.csv,2.2637
1800,reviews20mb.csv,2.2633
1800,reviews50mb.csv,2.3018
1800,reviews100mb.csv,2.3452
1900,reviews10mb.csv,2.267
1900,reviews20mb.csv,2.2742
1900,reviews50mb.csv,2.3094
1900,reviews100mb.csv,2.3498
2000,reviews10mb.csv,2.2733
2000,reviews20mb.csv,2.28
2000,reviews50mb.csv,2.3158
2000,reviews100mb.csv,2.3637
