f1_n,f2_dataset_object_key,ipc
200000,reviews10mb.csv,1.3355
200000,reviews20mb.csv,1.3759
200000,reviews50mb.csv,1.3666
200000,reviews100mb.csv,1.4517
300000,reviews10mb.csv,1.3095
300000,reviews20mb.csv,1.3996
300000,reviews50mb.csv,1.4712
300000,reviews100mb.csv,1.5507
400000,reviews10mb.csv,1.3632
400000,reviews20mb.csv,1.4029
400000,reviews50mb.csv,1.4766
400000,reviews100mb.csv,1.5601
500000,reviews10mb.csv,1.3732
500000,reviews20mb.csv,1.3959
500000,reviews50mb.csv,1.4766
500000,reviews100mb.csv,1.5456
600000,reviews10mb.csv,1.3789
600000,reviews20mb.csv,1.4107
600000,reviews50mb.csv,1.4818
600000,reviews100mb.csv,1.5594
700000,reviews10mb.csv,1.377
700000,reviews20mb.csv,1.3999
700000,reviews50mb.csv,1.4862
700000,reviews100mb.csv,1.5393
800000,reviews10mb.csv,1.3795
800000,reviews20mb.csv,1.4071
800000,reviews50mb.csv,1.4842
800000,reviews100mb.csv,1.5667
900000,reviews10mb.csv,1.372
900000,reviews20mb.csv,1.3987
900000,reviews50mb.csv,1.4876
900000,reviews100mb.csv,1.5596
1000000,reviews10mb.csv,1.3908
1000000,reviews20mb.csv,1.406
1000000,reviews50mb.csv,1.4841
1000000,reviews100mb.csv,1.5574
1100000,reviews10mb.csv,1.3954
1100000,reviews20mb.csv,1.4144
1100000,reviews50mb.csv,1.4859
1100000,reviews100mb.csv,1.5538
1200000,reviews10mb.csv,1.3921
1200000,reviews20mb.csv,1.4291
1200000,reviews50mb.csv,1.4756
1200000,reviews100mb.csv,1.5484
1300000,reviews10mb.csv,1.3959
1300000,reviews20mb.csv,1.429
1300000,reviews50mb.csv,1.4866
1300000,reviews100mb.csv,1.5537
1400000,reviews10mb.csv,1.3988
1400000,reviews20mb.csv,1.4283
1400000,reviews50mb.csv,1.497
1400000,reviews100mb.csv,1.5481
1500000,reviews10mb.csv,1.4259
1500000,reviews20mb.csv,1.4436
1500000,reviews50mb.csv,1.4982
1500000,reviews100mb.csv,1.561
1600000,reviews10mb.csv,1.4036
1600000,reviews20mb.csv,1.4406
1600000,reviews50mb.csv,1.4982
1600000,reviews100mb.csv,1.5554
1700000,reviews10mb.csv,1.3923
1700000,reviews20mb.csv,1.4375
1700000,reviews50mb.csv,1.4972
1700000,reviews100mb.csv,1.584
1800000,reviews10mb.csv,1.4024
1800000,reviews20mb.csv,1.4432
1800000,reviews50mb.csv,1.4865
1800000,reviews100mb.csv,1.5524
1900000,reviews10mb.csv,1.4018
1900000,reviews20mb.csv,1.4417
1900000,reviews50mb.csv,1.5032
1900000,reviews100mb.csv,1.5755
