f1_n,f2_dataset_object_key,ipc
500,reviews10mb.csv,1.447
500,reviews20mb.csv,1.481
500,reviews50mb.csv,1.5558
500,reviews100mb.csv,1.6439
600,reviews10mb.csv,1.5077
600,reviews20mb.csv,1.5321
600,reviews50mb.csv,1.6096
600,reviews100mb.csv,1.6914
700,reviews10mb.csv,1.5765
700,reviews20mb.csv,1.6099
700,reviews50mb.csv,1.6774
700,reviews100mb.csv,1.7584
800,reviews10mb.csv,1.6758
800,reviews20mb.csv,1.7116
800,reviews50mb.csv,1.7757
800,reviews100mb.csv,1.8594
900,reviews10mb.csv,1.7856
900,reviews20mb.csv,1.7817
900,reviews50mb.csv,1.8562
900,reviews100mb.csv,1.9529
1000,reviews10mb.csv,1.9054
1000,reviews20mb.csv,1.933
1000,reviews50mb.csv,1.9959
1000,reviews100mb.csv,2.0611
1100,reviews10mb.csv,2.0365
1100,reviews20mb.csv,2.0599
1100,reviews50mb.csv,2.1132
1100,reviews100mb.csv,2.1626
1200,reviews10mb.csv,2.155
1200,reviews20mb.csv,2.1929
1200,reviews50mb.csv,2.2264
1200,reviews100mb.csv,2.2793
1300,reviews10mb.csv,2.2402
1300,reviews20mb.csv,2.2177
1300,reviews50mb.csv,2.2688
1300,reviews100mb.csv,2.3658
1400,reviews10mb.csv,2.2328
1400,reviews20mb.csv,2.2378
1400,reviews50mb.csv,2.327
1400,reviews100mb.csv,2.3422
1500,reviews10mb.csv,2.2165
1500,reviews20mb.csv,2.3106
1500,reviews50mb.csv,2.3273
1500,reviews100mb.csv,2.3265
1600,reviews10mb.csv,2.265
1600,reviews20mb.csv,2.2686
1600,reviews50mb.csv,2.2817
1600,reviews100mb.csv,2.3905
1700,reviews10mb.csv,2.2974
1700,reviews20mb.csv,2.2889
1700,reviews50mb.csv,2.2946
1700,reviews100mb.csv,2.3837
1800,reviews10mb.csv,2.2638
1800,reviews20mb.csv,2.2592
1800,reviews50mb.csv,2.3461
1800,reviews100mb.csv,2.3463
1900,reviews10mb.csv,2.2151
1900,reviews20mb.csv,2.3118
1900,reviews50mb.csv,2.3255
1900,reviews100mb.csv,2.3481
2000,reviews10mb.csv,2.2888
2000,reviews20mb.csv,2.2941
2000,reviews50mb.csv,2.3101
2000,reviews100mb.csv,2.4011
