f1_object_key,f2_n,ipc
dog_1.jpg,500,2.0694
dog_1.jpg,600,2.1796
dog_1.jpg,700,2.2509
dog_1.jpg,800,2.3633
dog_1.jpg,900,2.4863
dog_1.jpg,1000,2.5838
dog_1.jpg,1100,2.6692
dog_1.jpg,1200,2.7541
dog_1.jpg,1300,2.8313
dog_1.jpg,1400,2.8472
dog_1.jpg,1500,2.8643
dog_1.jpg,1600,2.8427
dog_1.jpg,1700,2.8698
dog_1.jpg,1800,2.8202
dog_1.jpg,1900,2.8639
dog_1.jpg,2000,2.8834
dog_2.jpg,500,2.3276
dog_2.jpg,600,2.3485
dog_2.jpg,700,2.3928
dog_2.jpg,800,2.4704
dog_2.jpg,900,2.5287
dog_2.jpg,1000,2.5979
dog_2.jpg,1100,2.6628
dog_2.jpg,1200,2.737
dog_2.jpg,1300,2.8026
dog_2.jpg,1400,2.7945
dog_2.jpg,1500,2.7939
dog_2.jpg,1600,2.8024
dog_2.jpg,1700,2.8084
dog_2.jpg,1800,2.8146
dog_2.jpg,1900,2.8193
dog_2.jpg,2000,2.8209
dog_3.jpg,500,2.4657
dog_3.jpg,600,2.4707
dog_3.jpg,700,2.4674
dog_3.jpg,800,2.5296
dog_3.jpg,900,2.5705
dog_3.jpg,1000,2.614
dog_3.jpg,1100,2.6485
dog_3.jpg,1200,2.7178
dog_3.jpg,1300,2.7664
dog_3.jpg,1400,2.786
dog_3.jpg,1500,2.7778
dog_3.jpg,1600,2.7705
dog_3.jpg,1700,2.7809
dog_3.jpg,1800,2.7759
dog_3.jpg,1900,2.7829
dog_3.jpg,2000,2.7913
dog_4.jpg,500,2.4751
dog_4.jpg,600,2.4827
dog_4.jpg,700,2.5029
dog_4.jpg,800,2.5338
dog_4.jpg,900,2.6082
dog_4.jpg,1000,2.6652
dog_4.jpg,1100,2.6844
dog_4.jpg,1200,2.7154
dog_4.jpg,1300,2.7242
dog_4.jpg,1400,2.7242
dog_4.jpg,1500,2.7598
dog_4.jpg,1600,2.7608
dog_4.jpg,1700,2.7694
dog_4.jpg,1800,2.7687
dog_4.jpg,1900,2.7368
dog_4.jpg,2000,2.7529
dog_5.jpg,500,2.2722
dog_5.jpg,600,2.3034
dog_5.jpg,700,2.3469
dog_5.jpg,800,2.4361
dog_5.jpg,900,2.4292
dog_5.jpg,1000,2.4914
dog_5.jpg,1100,2.5474
dog_5.jpg,1200,2.5918
dog_5.jpg,1300,2.5891
dog_5.jpg,1400,2.6151
dog_5.jpg,1500,2.608
dog_5.jpg,1600,2.6145
dog_5.jpg,1700,2.6141
dog_5.jpg,1800,2.617
dog_5.jpg,1900,2.621
dog_5.jpg,2000,2.6007
dog_6.jpg,500,1.9513
dog_6.jpg,600,2.0165
dog_6.jpg,700,2.0288
dog_6.jpg,800,2.0911
dog_6.jpg,900,2.1746
dog_6.jpg,1000,2.2247
dog_6.jpg,1100,2.2851
dog_6.jpg,1200,2.3609
dog_6.jpg,1300,2.3584
dog_6.jpg,1400,2.389
dog_6.jpg,1500,2.3803
dog_6.jpg,1600,2.3697
dog_6.jpg,1700,2.3662
dog_6.jpg,1800,2.3645
dog_6.jpg,1900,2.3998
dog_6.jpg,2000,2.3914
dog_7.jpg,500,1.5872
dog_7.jpg,600,1.6574
dog_7.jpg,700,1.7
dog_7.jpg,800,1.8406
dog_7.jpg,900,1.9178
dog_7.jpg,1000,1.9783
dog_7.jpg,1100,2.0536
dog_7.jpg,1200,2.1645
dog_7.jpg,1300,2.1882
dog_7.jpg,1400,2.1803
dog_7.jpg,1500,2.1509
dog_7.jpg,1600,2.1335
dog_7.jpg,1700,2.1521
dog_7.jpg,1800,2.1643
dog_7.jpg,1900,2.1746
dog_7.jpg,2000,2.1833
dog_8.jpg,500,1.2909
dog_8.jpg,600,1.3895
dog_8.jpg,700,1.4657
dog_8.jpg,800,1.552
dog_8.jpg,900,1.6748
dog_8.jpg,1000,1.7871
dog_8.jpg,1100,1.9141
dog_8.jpg,1200,2.0629
dog_8.jpg,1300,2.117
dog_8.jpg,1400,2.1358
dog_8.jpg,1500,2.1497
dog_8.jpg,1600,2.1476
dog_8.jpg,1700,2.1621
dog_8.jpg,1800,2.1697
dog_8.jpg,1900,2.173
dog_8.jpg,2000,2.1819
dog_9.jpg,500,1.346
dog_9.jpg,600,1.3773
dog_9.jpg,700,1.4857
dog_9.jpg,800,1.5632
dog_9.jpg,900,1.6748
dog_9.jpg,1000,1.8248
dog_9.jpg,1100,1.9489
dog_9.jpg,1200,2.0758
dog_9.jpg,1300,2.129
dog_9.jpg,1400,2.1385
dog_9.jpg,1500,2.1321
dog_9.jpg,1600,2.1308
dog_9.jpg,1700,2.1449
dog_9.jpg,1800,2.1309
dog_9.jpg,1900,2.1369
dog_9.jpg,2000,2.1484
