f1_object_key,f2_dataset_test_object_key,ipc
dog_1.jpg,reviews10mb.csv,1.6056
dog_1.jpg,reviews20mb.csv,1.6386
dog_1.jpg,reviews50mb.csv,1.6807
dog_1.jpg,reviews100mb.csv,1.7702
dog_2.jpg,reviews10mb.csv,1.801
dog_2.jpg,reviews20mb.csv,1.8369
dog_2.jpg,reviews50mb.csv,1.8718
dog_2.jpg,reviews100mb.csv,1.9373
dog_3.jpg,reviews10mb.csv,1.9686
dog_3.jpg,reviews20mb.csv,1.9542
dog_3.jpg,reviews50mb.csv,1.992
dog_3.jpg,reviews100mb.csv,2.098
dog_4.jpg,reviews10mb.csv,1.9781
dog_4.jpg,reviews20mb.csv,1.9675
dog_4.jpg,reviews50mb.csv,2.0065
dog_4.jpg,reviews100mb.csv,2.0518
dog_5.jpg,reviews10mb.csv,1.8264
dog_5.jpg,reviews20mb.csv,1.8862
dog_5.jpg,reviews50mb.csv,1.8694
dog_5.jpg,reviews100mb.csv,1.9114
dog_6.jpg,reviews10mb.csv,1.6032
dog_6.jpg,reviews20mb.csv,1.6301
dog_6.jpg,reviews50mb.csv,1.6589
dog_6.jpg,reviews100mb.csv,1.7106
dog_7.jpg,reviews10mb.csv,1.4198
dog_7.jpg,reviews20mb.csv,1.4356
dog_7.jpg,reviews50mb.csv,1.4469
dog_7.jpg,reviews100mb.csv,1.5174
dog_8.jpg,reviews10mb.csv,1.3037
dog_8.jpg,reviews20mb.csv,1.3133
dog_8.jpg,reviews50mb.csv,1.343
dog_8.jpg,reviews100mb.csv,1.3936
dog_9.jpg,reviews10mb.csv,1.3251
dog_9.jpg,reviews20mb.csv,1.3321
dog_9.jpg,reviews50mb.csv,1.3702
dog_9.jpg,reviews100mb.csv,1.4125
