48,100,162,226,285,353,417,467,530,590
39,92,125,178,218,270,319,410,501,610
47,102,174,247,283,365,429,479,542,603
37,81,126,171,210,259,308,341,374,414
31,75,114,143,186,219,259,296,350,406
42,80,125,164,197,247,288,325,363,402
54,106,168,232,291,359,423,472,536,596
38,96,125,178,217,270,319,410,501,610
47,102,174,247,280,361,425,474,538,598
42,80,125,170,214,259,302,341,379,420
30,69,108,135,174,209,252,285,330,400
42,80,118,168,202,248,301,335,374,412

15,16,20,35,44,53,66,79,97,115
8,13,18,28,36,46,59,61,80,99
10,13,21,30,40,49,69,71,92,110
1,13,19,29,40,46,53,59,73,85
0,15,18,28,38,45,54,61,71,82
7,13,19,29,40,46,53,59,68,79
8,13,18,28,37,47,59,72,89,108
8,13,18,28,36,49,59,67,85,103
15,18,26,46,58,77,96,115,137,160
4,15,17,28,35,45,54,61,71,82
4,15,18,28,37,48,60,71,82,93

7,13,23,34,46,57,73,79,90,107
32,63,92,131,157,195,219,263,283,313
18,53,72,90,126,153,163,198,244,312
29,72,102,130,174,206,230,274,295,329
13,40,62,85,99,123,134,157,168,190
14,37,54,75,92,114,126,147,160,192
18,40,59,74,96,123,140,157,179,201
31,63,92,131,157,195,219,263,283,313
18,49,76,103,130,158,185,226,271,339
29,72,102,130,170,202,226,270,290,313
15,42,61,81,99,125,138,164,186,208
14,30,53,75,87,105,125,141,158,186
14,41,63,79,107,124,146,158,185,207
