0.67,10,1
0.96,5,2309
3.43,6,20
4.74,2,1388976
5.78,3,1
8.64,9,2066,83
9.99,4,1572
12.58,3,6
14.68,9,4041,68
15.62,1,20
21.05,1,10
23.75,4,2952
25.95,10,1
30.87,10,1
33.9,2,968479
39.06,2,906749
40.42,9,843,31
42.06,3,8
44.72,3,8
47.1,0,1653
47.64,3,4
53.11,6,10
57.74,5,699
58.8,10,1
61.75,8,50
63.43,6,50
64.01,1,50
64.12,10,1
68.12,8,50
70.88,3,7
70.93,0,410
71.03,6,10
76.84,9,3450,94
78.13,8,100
79.13,10,1
80.8,2,1442789
80.84,6,20
81.45,10,1
81.62,10,1
84.62,6,20
85.19,10,1
88.17,6,20
89.64,1,20
90.32,5,2274
91.96,0,533
92.02,8,100
92.39,4,2787
95.99,9,1569,110
97.16,6,100
97.67,9,3898,39
105.88,6,10
108.9,1,20
110.87,8,100
114.91,5,1395
116.43,1,50
122.49,10,1
123.11,2,685802
125.31,4,711
125.77,4,536
127.05,3,2
128.22,6,10
129.43,2,311611
129.74,9,283,29
131.82,5,220
131.9,5,1586
133.05,6,10
133.12,1,50
134.53,4,1679
136.8,0,963
137.6,2,1470282
139.38,6,100
141.96,0,37
142.21,4,2289
145.44,10,1
147.05,0,346
152.35,1,20
153.26,3,4
155.78,6,10
156.08,9,1748,18
156.42,2,1566876
158.27,0,248
162.5,1,20
162.78,6,50
168.25,0,126
169.19,1,20
171.82,3,6
174.94,0,203
177.77,1,10
179.3,6,50
180.58,3,9
180.63,8,50
181.72,10,1
182.81,5,343
184.85,1,100
188.01,5,2894
190.65,4,2491
191.85,10,1
193.89,9,3081,68
197.36,6,20
197.57,1,100
